Alias,IATA,lat,lon,id
Oskarshamn,OSK,57.3505,16.498,558
Kalkmar,KLR,56.6855,16.2876,559
Malmoe,MMX,55.536304,13.376198,560
Halmstad,HAD,56.6911,12.8202,561
Vaxjo,VXO,56.9291,14.728,562
Sveg,EVG,62.0478,14.4229,563
Gallivare,GEV,67.1324,20.8146,564
Hudiksvall,HUV,61.7681,17.0807,565
Kramfors,KRF,63.0486,17.7689,566
Lycksele,LYC,64.5483,18.7162,567
Sundsvall,SDL,62.5281,17.4439,568
Ornskoldsvik,OER,63.4083,18.99,569
Kiruna,KRN,67.822,20.3368,570
Skelleftea,SFT,64.6248,21.0769,571
Umea,UME,63.7918,20.2828,572
Vilhelmina,VHM,64.5791,16.8336,573
Arvidsjaur,AJR,65.5903,19.2819,574
Orebro,ORB,59.2237,15.038,575
Vasteras,VST,59.5894,16.6336,576
Lulea,LLA,65.5438,22.122,577
Stockholm,ARN,59.6519,17.9186,578
Stockholm,BMA,59.3544,17.9417,579
Borlange,BLE,60.422,15.5152,580
Hultsfred,HLF,57.5258,15.8233,581
Gavle,GVX,60.5933,16.9514,582
Linkoeping,LPI,58.4062,15.6805,583
Norrkoeping,NRK,58.5863,16.2506,584
Eskilstuna,EKT,59.3511,16.7084,585
Visby,VBY,57.6628,18.3462,586
Spangdahlem,SPM,49.9727,6.6925,587
Ramstein,RMS,49.4369,7.60028,588
Giebelstadt,GHF,49.6481,9.96649,589
Celle,ZCN,52.5912,10.0221,590
Fritzlar,FRZ,51.1146,9.286,591
Hanau,ZNF,50.1692,8.96159,592
Kitzingen,KZG,49.7431,10.2006,593
Nordholz,FCN,53.7677,8.6585,594
Geilenkirchen,GKE,50.9608,6.04242,595
Laage,RLG,53.9182,12.2783,596
Schleswig,WBG,54.4593,9.51633,597
Wiesbaden,WIE,50.0498,8.3254,598
Fuerstenfeldbruck,FEL,48.205555,11.266944,599
Ingolstadt,IGS,48.7157,11.534,600
Guetersloh,GUT,51.9228,8.30633,601
Alexander Bay,ALJ,-28.575,16.5333,602
Aggeneys,AGZ,-29.2818,18.8139,603
Bisho,BIY,-32.8971,27.2791,604
Bloemfontein,BFN,-29.0927,26.3024,605
Cape Town,CPT,-33.9648,18.6017,606
Durban,DUR,-29.614445,31.119722,607
East London,ELS,-33.0356,27.8259,608
Ficksburg,FCB,-28.8231,27.9089,609
Johannesburg,GCJ,-25.9863,28.1401,610
George,GRJ,-34.0056,22.378902,611
Harrismith,HRS,-28.2351,29.1062,612
Hoedspruit,HDS,-24.3686,31.0487,613
Johannesburg,JNB,-26.1392,28.246,614
Klerksdorp,KXE,-26.8711,26.718,615
Kimberley,KIM,-28.8028,24.7652,616
Kuruman,KMH,-27.4567,23.4114,617
Kleinsee,KLZ,-29.6884,17.094,618
